,order_id,order_date,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,product_id,quantity,discount,sales_price,profit,year,month
79,80,2023-10-22,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,OFF-AP-10002118,1,6.3,203.7,13.699999999999989,2023,10
80,81,2022-07-20,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,OFF-BI-10002309,3,0.4,19.6,-0.3999999999999986,2022,7
81,82,2022-11-16,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10002053,5,0.5,9.5,-0.5,2022,11
82,83,2022-11-10,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,OFF-ST-10002370,1,0.8,19.2,-0.8000000000000007,2022,11
83,84,2022-03-15,Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,OFF-EN-10000927,7,6.0,194.0,14.0,2022,3
84,85,2023-10-03,First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,OFF-ST-10003656,3,4.6,225.4,15.400000000000006,2023,10
85,86,2022-03-20,Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,FUR-CH-10000863,2,15.0,285.0,25.0,2022,3
86,87,2023-12-04,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,TEC-AC-10001998,1,1.0,19.0,-1.0,2023,12
87,88,2023-11-24,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,OFF-LA-10000134,2,0.5,9.5,-0.5,2023,11
88,89,2023-12-30,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,OFF-ST-10003442,7,8.0,152.0,12.0,2023,12
89,90,2022-05-23,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,OFF-AR-10004930,3,0.4,19.6,-0.3999999999999986,2022,5
90,91,2023-04-06,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,TEC-PH-10004093,2,1.4,68.6,8.599999999999994,2023,4
91,92,2022-03-23,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,OFF-PA-10000304,1,0.2,9.8,-0.1999999999999993,2022,3
92,93,2023-04-07,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,OFF-PA-10003177,2,0.2,9.8,-0.1999999999999993,2023,4
93,94,2022-05-13,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,FUR-FU-10003799,3,2.5,47.5,-2.5,2022,5
94,95,2022-04-23,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,OFF-BI-10002852,2,0.9,29.1,9.100000000000001,2022,4
95,96,2023-12-17,Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,OFF-BI-10004738,1,0.2,9.8,-0.1999999999999993,2023,12
96,97,2022-04-28,Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,FUR-FU-10000629,7,5.0,95.0,15.0,2022,4
97,98,2023-06-14,First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,OFF-BI-10001721,3,2.0,48.0,8.0,2023,6
98,99,2023-02-05,Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,OFF-AP-10000358,6,2.4,77.6,7.599999999999994,2023,2
99,100,2023-12-30,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,OFF-PA-10003256,7,1.8,58.2,-1.7999999999999972,2023,12
100,101,2022-02-24,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,TEC-AC-10001767,3,5.0,95.0,15.0,2022,2
101,102,2022-07-25,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,OFF-BI-10002609,3,0.0,0.0,0.0,2022,7
102,103,2022-01-14,Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,OFF-PA-10004040,4,0.8,19.2,-0.8000000000000007,2022,1
103,104,2022-12-22,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,TEC-AC-10001552,6,7.2,232.8,12.800000000000011,2022,12
104,105,2022-06-09,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,FUR-FU-10004006,3,5.0,95.0,5.0,2022,6
105,106,2023-10-28,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,OFF-BI-10002794,3,2.0,38.0,8.0,2023,10
106,107,2022-10-18,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,TEC-AC-10003499,8,3.5,66.5,6.5,2022,10
107,108,2022-11-23,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,TEC-PH-10002844,1,0.9,29.1,-0.8999999999999986,2022,11
108,109,2023-10-12,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,OFF-AR-10000390,1,0.0,0.0,0.0,2023,10
109,110,2023-03-17,Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,TEC-AC-10000844,5,6.8,333.2,43.19999999999999,2023,3
110,111,2023-09-05,Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,FUR-FU-10001934,2,0.8,39.2,9.200000000000003,2023,9
111,112,2022-01-28,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,OFF-AR-10000380,2,2.4,77.6,7.599999999999994,2022,1
112,113,2022-12-26,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,OFF-BI-10003981,6,0.9,29.1,-0.8999999999999986,2022,12
113,114,2023-06-06,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10000621,14,0.8,39.2,-0.7999999999999972,2023,6
114,115,2023-11-08,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002600,2,0.0,0.0,0.0,2023,11
115,116,2022-11-15,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10004965,3,0.8,19.2,-0.8000000000000007,2022,11
116,117,2022-06-30,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002504,6,6.5,123.5,3.5,2022,6
117,118,2023-10-27,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,FUR-TA-10001768,3,31.6,758.4,38.39999999999998,2023,10
118,119,2023-07-19,,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,OFF-BI-10003650,1,8.0,152.0,12.0,2023,7
119,120,2023-03-30,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,FUR-FU-10002157,3,1.5,48.5,-1.5,2023,3
120,121,2022-03-03,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,OFF-BI-10003910,4,0.6,29.4,9.399999999999999,2022,3
121,122,2022-10-20,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,OFF-ST-10000777,6,4.6,225.4,35.400000000000006,2022,10
122,123,2023-01-23,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,OFF-EN-10002500,9,4.8,115.2,5.200000000000003,2023,1
123,124,2023-01-21,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,TEC-PH-10003875,7,1.4,68.6,8.599999999999994,2023,1
124,125,2023-07-18,Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004063,3,18.0,582.0,32.0,2023,7
125,126,2023-07-15,Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,FUR-TA-10004534,6,24.8,595.2,55.200000000000045,2023,7
126,127,2022-07-14,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,OFF-BI-10003274,2,0.0,0.0,0.0,2022,7
127,128,2023-03-30,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,OFF-ST-10002974,7,9.6,230.4,30.400000000000006,2023,3
128,129,2023-09-18,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,FUR-CH-10001146,2,1.6,78.4,8.400000000000006,2023,9
129,130,2022-01-03,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10003773,3,9.6,230.4,10.400000000000006,2022,1
130,131,2022-07-17,First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,TEC-PH-10002293,5,1.8,58.2,8.200000000000003,2022,7
131,132,2022-03-30,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10002377,2,3.2,76.8,-3.200000000000003,2022,3
132,133,2022-05-01,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10002780,9,1.0,19.0,-1.0,2022,5
133,134,2023-04-29,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001804,3,0.8,19.2,-0.8000000000000007,2023,4
134,135,2022-10-28,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001736,1,2.0,38.0,8.0,2022,10
135,136,2022-03-05,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,OFF-AR-10001149,4,0.5,9.5,-0.5,2022,3
136,137,2022-03-28,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,OFF-FA-10002988,2,0.0,0.0,0.0,2022,3
137,138,2023-10-16,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,OFF-BI-10004781,3,1.6,78.4,8.400000000000006,2023,10
138,139,2022-05-15,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,OFF-SU-10001218,6,3.5,66.5,6.5,2022,5
139,140,2023-06-06,Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,FUR-FU-10001706,14,0.8,39.2,-0.7999999999999972,2023,6
140,141,2022-06-10,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,2,1.6,78.4,18.400000000000006,2022,6
141,142,2022-07-22,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10000940,3,0.3,9.7,-0.3000000000000007,2022,7
142,143,2023-12-27,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,OFF-EN-10004030,3,0.2,9.8,-0.1999999999999993,2023,12
143,144,2023-11-29,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,OFF-PA-10004327,3,7.0,133.0,3.0,2023,11
144,145,2022-03-19,Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,OFF-AP-10001058,3,16.8,823.2,43.200000000000045,2022,3
145,146,2023-06-04,Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,OFF-ST-10003656,7,20.1,649.9,49.89999999999998,2023,6
146,147,2023-05-31,Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,FUR-FU-10000521,4,3.6,86.4,6.400000000000006,2023,5
147,148,2022-06-12,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10000215,11,15.2,364.8,14.800000000000011,2022,6
148,149,2022-05-18,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10001448,3,7.5,142.5,2.5,2022,5
149,150,2022-01-23,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,FUR-CH-10000454,8,58.5,1891.5,311.5,2022,1
150,151,2023-08-21,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,OFF-BI-10002735,5,6.8,163.2,13.199999999999989,2023,8
151,152,2023-08-31,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,OFF-AP-10000326,5,8.0,152.0,12.0,2023,8
152,153,2022-10-25,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,TEC-PH-10001254,2,4.0,196.0,36.0,2022,10
153,154,2022-10-07,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,OFF-PA-10001950,7,2.4,57.6,7.600000000000001,2022,10
154,155,2023-03-25,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,OFF-PA-10002254,4,4.4,105.6,5.599999999999994,2023,3
155,156,2023-03-27,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,OFF-ST-10001590,6,3.2,76.8,16.799999999999997,2023,3
156,157,2022-05-03,Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,OFF-AR-10001547,3,0.3,9.7,-0.3000000000000007,2022,5
157,158,2022-05-18,Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,FUR-CH-10004063,2,9.2,450.8,70.80000000000001,2022,5
158,159,2022-04-25,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,OFF-LA-10002475,2,0.3,9.7,-0.3000000000000007,2022,4
159,160,2022-06-30,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,TEC-PH-10004536,7,47.0,893.0,23.0,2022,6
160,161,2022-01-10,First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,OFF-PA-10002751,1,0.4,9.6,-0.40000000000000036,2022,1
161,162,2023-11-27,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,TEC-AC-10003657,2,2.5,47.5,7.5,2023,11
162,163,2022-02-16,Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,OFF-EN-10001990,5,1.2,28.8,-1.1999999999999993,2022,2
163,164,2022-08-14,Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,OFF-BI-10004002,2,0.9,29.1,9.100000000000001,2022,8
164,165,2023-10-14,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,OFF-AR-10004441,3,0.5,9.5,-0.5,2023,10
165,166,2022-10-16,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,TEC-MA-10000822,8,326.4,7833.6,983.6000000000004,2022,10
166,167,2022-11-20,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,OFF-ST-10000991,3,11.2,268.8,18.80000000000001,2022,11
